count	DateAsNumber
1	2009-08-18
1	2009-08-18
1	2009-08-20
1	2009-11-13
1	2009-11-13
1	2009-12-18
1	2009-12-18
1	2009-12-18
1	2009-12-18
1	2010-01-20
1	2010-01-20
1	2010-01-30
1	2010-03-24
1	2010-03-25
1	2010-03-25
1	2010-04-05
1	2010-04-05
1	2010-04-23
1	2010-04-23
1	2010-05-26
1	2010-06-24
1	2010-06-24
1	2010-06-24
1	2010-06-24
1	2010-07-28
1	2010-07-28
1	2010-07-28
1	2010-07-28
1	2010-07-28
1	2010-07-28
1	2010-07-28
1	2010-07-28
1	2010-07-28
1	2010-07-28
1	2010-07-28
1	2010-07-28
1	2010-07-28
1	2010-07-28
1	2010-07-28
1	2010-10-04
1	2010-10-04
1	2010-10-04
1	2010-10-04
1	2010-10-04
1	2010-11-26
1	2010-11-26
1	2010-11-26
1	2010-11-26
1	2011-01-14
1	2011-01-14
1	2011-01-14
1	2011-01-14
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-03-10
1	2011-04-26
1	2011-04-26
1	2011-04-26
1	2011-04-26
1	2011-04-26
1	2011-04-26
1	2011-04-26
1	2011-04-26
1	2011-04-26
1	2011-04-26
1	2011-04-26
1	2011-04-26
1	2011-04-26
1	2011-04-26
1	2011-05-03
1	2011-05-03
1	2011-05-03
1	2011-05-03
1	2011-05-03
1	2011-05-03
1	2011-05-03
1	2011-05-03
1	2011-05-11
1	2011-05-11
1	2011-05-11
1	2011-05-11
1	2011-06-03
1	2011-06-03
1	2011-06-03
1	2011-07-20
1	2011-07-20
1	2011-07-20
1	2011-07-20
1	2011-07-20
1	2011-07-20
1	2011-07-20
1	2011-07-20
1	2011-07-20
1	2011-07-20
1	2011-08-18
1	2011-08-19
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-08-30
1	2011-09-15
1	2011-09-15
1	2011-09-15
1	2011-09-15
1	2011-09-15
1	2011-09-15
1	2011-09-15
1	2011-09-15
1	2011-09-15
1	2011-09-15
1	2011-09-15
1	2011-09-15
1	2011-09-15
1	2011-09-15
1	2011-09-15
1	2011-09-15
1	2011-09-15
1	2011-09-15
1	2011-09-15
1	2011-09-15
1	2011-09-15
1	2011-09-15
1	2011-09-15
1	2011-09-15
1	2011-09-15
1	2011-09-26
1	2011-09-26
1	2011-10-12
1	2011-10-12
1	2011-10-12
1	2011-10-12
1	2011-11-15
1	2011-11-15
1	2011-11-15
1	2011-11-15
1	2011-11-15
1	2011-11-15
1	2011-11-15
1	2011-11-15
1	2011-11-28
1	2011-11-28
1	2011-12-01
1	2011-12-01
1	2011-12-01
1	2011-12-01
1	2011-12-01
1	2011-12-20
1	2011-12-20
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2011-12-27
1	2012-01-10
1	2012-01-10
1	2012-01-10
1	2012-01-10
1	2012-01-10
1	2012-01-10
1	2012-01-10
1	2012-01-10
1	2012-01-10
1	2012-01-10
1	2012-01-10
1	2012-01-10
1	2012-01-10
1	2012-01-10
1	2012-01-13
1	2012-01-13
1	2012-01-13
1	2012-01-13
1	2012-01-13
1	2012-01-13
1	2012-01-26
1	2012-01-26
1	2012-01-26
1	2012-02-01
1	2012-02-01
1	2012-02-01
1	2012-02-01
1	2012-02-01
1	2012-02-01
1	2012-02-01
1	2012-02-01
1	2012-02-01
1	2012-02-01
1	2012-02-01
1	2012-02-01
1	2012-02-01
1	2012-03-01
1	2012-03-01
1	2012-03-01
1	2012-03-01
1	2012-03-01
1	2012-03-01
1	2012-03-01
1	2012-03-01
1	2012-03-06
1	2012-03-09
1	2012-03-09
1	2012-03-09
1	2012-03-09
1	2012-03-09
1	2012-03-09
1	2012-03-13
1	2012-03-13
1	2012-03-13
1	2012-03-13
1	2012-03-13
1	2012-03-13
1	2012-03-13
1	2012-03-13
1	2012-03-13
1	2012-03-13
1	2012-03-13
1	2012-03-13
1	2012-03-14
1	2012-03-14
1	2012-03-14
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-03-27
1	2012-04-26
1	2012-04-26
1	2012-04-26
1	2012-04-26
1	2012-04-26
1	2012-04-26
1	2012-04-26
1	2012-04-26
1	2012-05-01
1	2012-05-01
1	2012-05-01
1	2012-05-01
1	2012-05-01
1	2012-05-01
1	2012-05-01
1	2012-05-01
1	2012-05-01
1	2012-05-01
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-03
1	2012-05-12
1	2012-05-12
1	2012-05-12
1	2012-05-16
1	2012-05-16
1	2012-05-16
1	2012-05-16
1	2012-05-29
1	2012-05-29
1	2012-05-29
1	2012-05-29
1	2012-05-29
1	2012-05-29
1	2012-05-29
1	2012-05-29
1	2012-05-29
1	2012-05-29
1	2012-05-29
1	2012-05-29
1	2012-05-29
1	2012-06-04
1	2012-06-04
1	2012-06-04
1	2012-06-04
1	2012-06-04
1	2012-06-04
1	2012-06-04
1	2012-06-04
1	2012-06-11
1	2012-06-11
1	2012-06-11
1	2012-06-11
1	2012-06-11
1	2012-06-11
1	2012-06-11
1	2012-06-11
1	2012-06-11
1	2012-06-11
1	2012-06-11
1	2012-06-11
1	2012-06-11
1	2012-06-20
1	2012-06-20
1	2012-06-20
1	2012-06-22
1	2012-06-22
1	2012-06-22
1	2012-06-22
1	2012-06-22
1	2012-06-23
1	2012-06-23
1	2012-06-23
1	2012-06-24
1	2012-06-24
1	2012-06-25
1	2012-06-25
1	2012-06-25
1	2012-06-25
1	2012-06-25
1	2012-06-25
1	2012-06-25
1	2012-06-25
1	2012-06-25
1	2012-06-25
1	2012-06-27
1	2012-06-27
1	2012-06-27
1	2012-06-27
1	2012-06-27
1	2012-06-27
1	2012-06-27
1	2012-06-27
1	2012-06-27
1	2012-06-27
1	2012-06-27
1	2012-06-27
1	2012-06-27
1	2012-06-27
1	2012-06-27
1	2012-06-27
1	2012-06-27
1	2012-06-27
1	2012-06-28
1	2012-06-29
1	2012-06-29
1	2012-06-29
1	2012-06-30
1	2012-06-30
